lossg_mean,lossg_std,lossd_mean,lossd_std,dx_mean,dx_std,dx_min,dx_max,dx_max_min,dgz_mean,dgz_std,dgz_min,dgz_max,dgz_max_min,fid_score
-1.959220887184143,0.5760167873449962,2.624904333758354,0.9308748303670266,0.8676732100617887,0.009122213112350406,0.8524410504460335,0.8825313205122948,0.03009027006626129,0.10967543775498866,0.00520864914541917,0.1018764212206006,0.11919252574443817,0.017316104523837566,290.74955643694676
-2.2853494106173518,0.8483297828090685,2.1992210147619247,0.635078152599855,0.9141198678302764,0.007477757307856749,0.9005993228673935,0.925565002989769,0.02496568012237549,0.11977990689978005,0.007363079662848912,0.10489025494903326,0.13093006407022476,0.026039809121191502,229.13600516906948
-2.1873683529935777,0.8479863901048009,2.8001337760448455,1.3290199820519806,0.8637990930366516,0.008859276357746805,0.8483349750816822,0.8777002459049225,0.02936527082324028,0.1174030224610865,0.0076562870590582265,0.10442786889523267,0.12926625384688378,0.024838384951651096,191.75096055277737
-0.9845084073223174,1.1821501220416617,3.8690474199771883,1.8635347964368607,0.8100648718947172,0.010049059128964581,0.7925509860098362,0.8262885012865067,0.03373751527667045,0.14904366493970156,0.00845150043584887,0.1352185207888484,0.1621091872677207,0.0268906664788723,169.48412854601918
4.413231322050095,1.5945206663489118,7.804108158159256,1.6047409602631504,0.7020899654835463,0.014546458314917276,0.677975560760498,0.7270978570461273,0.04912229628562927,0.33788418737083675,0.013201624844850796,0.3154047081142664,0.35910971232056615,0.04370500420629978,164.9099420820882
7.31144002225399,1.9856040843409235,11.086278788280486,1.9369594909275414,0.6047885593742132,0.014990309970795226,0.5790149879038334,0.6291531590342522,0.050138171130418775,0.4416637455350161,0.013925891193671472,0.41900176477134227,0.46548885720670224,0.04648709243535996,78.55186019420069
6.8516840739130975,2.231722840329249,11.838096757888794,1.8777429100101606,0.5402075400632621,0.014415970503511243,0.5161034022510051,0.5641056187391281,0.04800221648812294,0.42194274526268244,0.012852383775334411,0.40094778434336187,0.4435044681608677,0.04255668381750584,55.35113907710826
7.625029404732585,2.2219350174893733,11.953466371536255,2.02022901416932,0.5653518398511409,0.013611779336532886,0.5427467574715614,0.5880903918266296,0.045343634355068205,0.45393200359195474,0.013340130221503788,0.4320569566577673,0.47630647071897986,0.04424951406121254,41.562168929774685
7.840461155509948,1.410225576377748,12.590702468299865,1.4651505891429148,0.5317111425966023,0.013362545442800055,0.5095879071474075,0.5540057472586631,0.044417840111255644,0.4597781176066399,0.012890706632898628,0.43846611018776893,0.48143415083885194,0.04296804065108299,37.663994659560586
7.628644775390625,1.5801165302362206,13.010790393161773,1.843071450906772,0.5083724468499422,0.013747706786791252,0.4854766341328621,0.5310929331719876,0.045616299039125445,0.45491208512544634,0.013123056624428694,0.43315954471230506,0.4766493885219097,0.04348984380960465,31.0569516903019
7.603718743109703,1.6752809245332585,13.14078737592697,1.589564673050866,0.49553546735465526,0.01280582699069605,0.4741953995525837,0.5166904876351357,0.04249508808255196,0.4501663257426024,0.01245694904856667,0.4292078787714243,0.4707565862417221,0.04154870747029781,29.42812714936298
8.298992056417465,1.386714097514022,13.060944287872314,1.3453959853312327,0.5265346996331215,0.013226804630085406,0.5039317521095276,0.547715088158846,0.04378333604931831,0.48176925075054167,0.012992193706101574,0.4593417287528515,0.5024046836793423,0.04306295492649078,26.04567272844139
8.506147437143326,1.6290571568648762,13.18173423728943,1.7932401056647331,0.5222483948028087,0.011921440337793637,0.5024910471200943,0.5421235838592052,0.03963253673911095,0.47837013239920134,0.011619611263756631,0.45942785090208055,0.4981270438671112,0.03869919296503067,25.731871249496322
8.71750177602768,1.4968350816945177,13.03855014705658,1.4135099034151082,0.5369920109021664,0.01236550992699971,0.5164932930886745,0.5575917353153229,0.04109844222664833,0.48840671053171153,0.012376736250530734,0.46821497507691384,0.50937662140131,0.04116164632439613,24.131897552937687
8.823295720529556,1.8889459270167617,13.127717553806304,1.7846757247997864,0.5384309708255529,0.0124374338665107,0.5177661973834038,0.5592117995738983,0.041445602190494535,0.49264395286560064,0.012017122457100737,0.47270393272042277,0.5128350533962249,0.04013112067580223,21.08420741031003
9.36017744064331,1.5332685034081188,13.549850421905518,1.5685093706521174,0.5328769729095697,0.011604878385300188,0.51363579646945,0.5521655884861946,0.03852979201674461,0.5105372908449173,0.011667723846328493,0.49131750252842904,0.5301595847427845,0.03884208221435547,21.89299750513362
8.88804718914032,1.582270653178406,13.461071075248718,1.5940481659275239,0.51902554808259,0.011503758000613987,0.49991579362750055,0.5380277328789235,0.03811193925142288,0.49344157662212845,0.011317554497887792,0.47467370799183844,0.5122348820567131,0.03756117406487465,23.36343907652011
7.591334433150291,1.6236425910030619,13.372825227165222,1.6693051946469695,0.4798354747527838,0.012040172845147499,0.4597513363301754,0.4998610759496689,0.04010973961949348,0.4462789861741662,0.011372420780415261,0.4274666468888521,0.46537137588262556,0.03790472899377346,19.477959352571418
8.91923854932785,1.6111445648934204,13.549202373123169,1.4595213116975276,0.515513294236064,0.011604290447050062,0.4961934655249119,0.5348268093585968,0.03863334383368492,0.49355207106769083,0.011301001684306427,0.4744912389576435,0.5122920635938645,0.037800824636220934,21.363229120871694
8.343290257263183,1.221132116137944,13.575357800102234,1.2746391709365141,0.49069332392811776,0.011291129052796904,0.471790015822649,0.5092518590927124,0.0374618432700634,0.47084163224220277,0.01108048746049227,0.452303327357769,0.489213903516531,0.036910576158761976,19.28858289483844
